id,name,wikidata
saskatchewan_(saskatoon—grasswood),Saskatchewan (Saskatoon—Grasswood),Q16990152
saskatchewan_(saskatoon—humboldt),Saskatchewan (Saskatoon—Humboldt),Q3473813
saskatchewan_(saskatoon—rosetown—biggar),Saskatchewan (Saskatoon—Rosetown—Biggar),Q3473814
saskatchewan_(saskatoon—university),Saskatchewan (Saskatoon—University),Q16979773
saskatchewan_(saskatoon—wanuskewin),Saskatchewan (Saskatoon—Wanuskewin),Q3473816
ontario_(sault_ste._marie),Ontario (Sault Ste. Marie),Q3474220
ontario_(scarborough_centre),Ontario (Scarborough Centre),Q3475163
ontario_(scarborough_north),Ontario (Scarborough North),Q16976145
ontario_(scarborough_southwest),Ontario (Scarborough Southwest),Q3475165
ontario_(scarborough—agincourt),Ontario (Scarborough—Agincourt),Q3475169
ontario_(scarborough—guildwood),Ontario (Scarborough—Guildwood),Q3475168
ontario_(scarborough—rouge_park),Ontario (Scarborough—Rouge Park),Q16979633
ontario_(scarborough—rouge_river),Ontario (Scarborough—Rouge River),Q3475170
manitoba_(selkirk—interlake),Manitoba (Selkirk—Interlake),Q3478170
manitoba_(selkirk—interlake—eastman),Manitoba (Selkirk—Interlake—Eastman),Q16978916
quebec_(shefford),Quebec (Shefford),Q3481722
quebec_(sherbrooke),Quebec (Sherbrooke),Q3481910
alberta_(sherwood_park—fort_saskatchewan),Alberta (Sherwood Park—Fort Saskatchewan),Q16986155
ontario_(simcoe_north),Ontario (Simcoe North),Q3484116
ontario_(simcoe—grey),Ontario (Simcoe—Grey),Q3484122
british_columbia_(skeena—bulkley_valley),British Columbia (Skeena—Bulkley Valley),Q3486212
saskatchewan_(souris—moose_mountain),Saskatchewan (Souris—Moose Mountain),Q3491962
british_columbia_(south_okanagan—west_kootenay),British Columbia (South Okanagan—West Kootenay),Q16999989
nova_scotia_(south_shore—st._margaret's),Nova Scotia (South Shore—St. Margaret's),Q3492274
british_columbia_(south_surrey—white_rock),British Columbia (South Surrey—White Rock),Q16999811
british_columbia_(south_surrey—white_rock—cloverdale),British Columbia (South Surrey—White Rock—Cloverdale),Q538155
ontario_(spadina—fort_york),Ontario (Spadina—Fort York),Q16976871
alberta_(st._albert—edmonton),Alberta (St. Albert—Edmonton),Q16977238
ontario_(st._catharines),Ontario (St. Catharines),Q267841
newfoundland_and_labrador_(st._john's_east),Newfoundland and Labrador (St. John's East),Q3495268
newfoundland_and_labrador_(st._john's_south—mount_pearl),Newfoundland and Labrador (St. John's South—Mount Pearl),Q3495269
ontario_(st._paul's),Ontario (St. Paul's),Q3495297
british_columbia_(steveston—richmond_east),British Columbia (Steveston—Richmond East),Q16999753
ontario_(stormont—dundas—south_glengarry),Ontario (Stormont—Dundas—South Glengarry),Q3499856
alberta_(sturgeon_river—parkland),Alberta (Sturgeon River—Parkland),Q16977239
ontario_(sudbury),Ontario (Sudbury),Q3502922
british_columbia_(surrey_centre),British Columbia (Surrey Centre),Q16977199
british_columbia_(surrey_north),British Columbia (Surrey North),Q3505436
british_columbia_(surrey—newton),British Columbia (Surrey—Newton),Q16979255
nova_scotia_(sydney—victoria),Nova Scotia (Sydney—Victoria),Q3506854
quebec_(terrebonne),Quebec (Terrebonne),Q25246025
quebec_(terrebonne—blainville),Quebec (Terrebonne—Blainville),Q3518686
quebec_(thérèse-de_blainville),Quebec (Thérèse-De Blainville),Q16842973
ontario_(thornhill),Ontario (Thornhill),Q3525846
ontario_(thunder_bay—rainy_river),Ontario (Thunder Bay—Rainy River),Q3526042
ontario_(thunder_bay—superior_north),Ontario (Thunder Bay—Superior North),Q3526041
ontario_(timmins—james_bay),Ontario (Timmins—James Bay),Q3529015
new_brunswick_(tobique—mactaquac),New Brunswick (Tobique—Mactaquac),Q614586
ontario_(toronto_centre),Ontario (Toronto Centre),Q921653
ontario_(toronto—danforth),Ontario (Toronto—Danforth),Q3532395
ontario_(toronto—st._paul's),Ontario (Toronto—St. Paul's),Q3495297
ontario_(trinity—spadina),Ontario (Trinity—Spadina),Q3539297
quebec_(trois-rivières),Quebec (Trois-Rivières),Q3539914
ontario_(university—rosedale),Ontario (University—Rosedale),Q16977089
british_columbia_(vancouver_centre),British Columbia (Vancouver Centre),Q3554460
british_columbia_(vancouver_east),British Columbia (Vancouver East),Q958124
british_columbia_(vancouver_granville),British Columbia (Vancouver Granville),Q17101508
british_columbia_(vancouver_island_north),British Columbia (Vancouver Island North),Q511033
british_columbia_(vancouver_kingsway),British Columbia (Vancouver Kingsway),Q3554467
british_columbia_(vancouver_quadra),British Columbia (Vancouver Quadra),Q3554466
british_columbia_(vancouver_south),British Columbia (Vancouver South),Q3554462
quebec_(vaudreuil-soulanges),Quebec (Vaudreuil-Soulanges),Q3555066
quebec_(vaudreuil—soulanges),Quebec (Vaudreuil—Soulanges),Q3555066
ontario_(vaughan),Ontario (Vaughan),Q3555073
ontario_(vaughan—woodbridge),Ontario (Vaughan—Woodbridge),Q16976825
alberta_(vegreville—wainwright),Alberta (Vegreville—Wainwright),Q2421710
quebec_(verchères—les_patriotes),Quebec (Verchères—Les Patriotes),Q3555765
british_columbia_(victoria),British Columbia (Victoria),Q3557672
quebec_(ville-marie—le_sud-ouest—Île-des-sœurs),Quebec (Ville-Marie—Le Sud-Ouest—Île-des-Sœurs),Q16977201
quebec_(vimy),Quebec (Vimy),Q16978570
saskatchewan_(wascana),Saskatchewan (Wascana),Q3566489
ontario_(waterloo),Ontario (Waterloo),Q3566686
ontario_(welland),Ontario (Welland),Q3567168
ontario_(wellington—halton_hills),Ontario (Wellington—Halton Hills),Q3567185
nova_scotia_(west_nova),Nova Scotia (West Nova),Q3345310
british_columbia_(west_vancouver—sunshine_coast—sea_to_sky_country),British Columbia (West Vancouver—Sunshine Coast—Sea to Sky Country),Q3567450
alberta_(westlock—st._paul),Alberta (Westlock—St. Paul),Q3567527
quebec_(westmount—ville-marie),Quebec (Westmount—Ville-Marie),Q3567544
alberta_(wetaskiwin),Alberta (Wetaskiwin),Q3567566
ontario_(whitby),Ontario (Whitby),Q16967060
ontario_(whitby—oshawa),Ontario (Whitby—Oshawa),Q3567757
alberta_(wild_rose),Alberta (Wild Rose),Q3568118
ontario_(willowdale),Ontario (Willowdale),Q3569133
ontario_(windsor_west),Ontario (Windsor West),Q3569303
ontario_(windsor—tecumseh),Ontario (Windsor—Tecumseh),Q3569307
manitoba_(winnipeg_centre),Manitoba (Winnipeg Centre),Q3569365
manitoba_(winnipeg_north),Manitoba (Winnipeg North),Q3569367
manitoba_(winnipeg_south),Manitoba (Winnipeg South),Q3569370
manitoba_(winnipeg_south_centre),Manitoba (Winnipeg South Centre),Q3569366
alberta_(yellowhead),Alberta (Yellowhead),Q3572142
ontario_(york_centre),Ontario (York Centre),Q3572587
ontario_(york_south—weston),Ontario (York South—Weston),Q3572599
ontario_(york_west),Ontario (York West),Q3572594
ontario_(york—simcoe),Ontario (York—Simcoe),Q3572613
saskatchewan_(yorkton—melville),Saskatchewan (Yorkton—Melville),Q3572619
the_north_(yukon),The North (Yukon),Q3573173
